ID_IPEDS,stabbr,highest_degree,degree_bach,public,enroll_ftug,grant_federal,year
127680,CO,5,1,0,9,19300.0,2010
127714,CO,5,1,0,4,9800.0,2010
127732,CO,3,1,1,411,1050914.0,2010
127741,CO,9,1,1,2227,3440424.0,2010
127778,CO,3,1,1,283,929150.0,2010
127787,CO,3,1,0,62,265162.0,2010
127820,CO,4,1,1,1612,4911517.0,2010
127839,CO,4,1,0,418,957050.0,2010
127884,CO,3,1,1,619,2380244.0,2010
127909,CO,3,1,1,832,1884649.0,2010
127918,CO,9,1,0,446,913489.0,2010
127945,CO,5,1,0,139,270351.0,2010
127954,CO,6,1,0,5,5550.0,2010
128106,CO,7,1,1,980,2546993.0,2010
128151,CO,2,1,1,385,722989.0,2010
128179,CO,3,1,0,456,1483536.0,2010
128188,CO,3,1,0,342,1477071.0,2010
128258,CO,3,1,1,287,1020761.0,2010
128337,CO,4,1,0,60,267675.0,2010
128391,CO,7,1,1,479,607598.0,2010
128498,CT,7,1,0,161,474088.0,2010
128540,CT,2,1,0,35,83252.0,2010
128577,CT,3,1,1,224,492014.0,2010
128586,CT,5,1,0,25,0.0,2010
128674,CT,2,1,0,992,2577998.0,2010
128683,CT,5,1,0,305,1018874.0,2010
128726,CT,2,1,0,116,82500.0,2010
128744,CT,9,1,0,594,2234338.0,2010
128771,CT,9,1,1,1350,1915261.0,2010
128896,CT,2,1,0,24,52416.0,2010
128902,CT,7,1,0,488,385851.0,2010
129002,CT,2,1,0,55,197050.0,2010
129020,CT,9,1,1,3335,3357469.0,2010
129154,CT,5,1,0,292,1055629.0,2010
129181,CT,4,1,0,832,2402523.0,2010
129215,CT,7,1,1,915,1081378.0,2010
129242,CT,9,1,0,922,1054401.0,2010
129349,CT,2,1,0,101,206744.0,2010
129367,CT,3,1,1,425,1631787.0,2010
129482,CT,4,1,0,507,2407416.0,2010
129525,CT,9,1,0,1378,1939050.0,2010
129543,CT,3,1,1,858,2966549.0,2010
129695,CT,4,1,1,1103,2187133.0,2010
129729,CT,3,1,1,1004,2280732.0,2010
129756,CT,3,1,1,374,715251.0,2010
129774,CT,5,1,0,228,395185.0,2010
129808,CT,3,1,1,670,1402238.0,2010
129923,CT,2,1,0,346,1169135.0,2010
129932,CT,1,1,0,839,1952600.0,2010
129941,CT,9,1,0,1005,1348851.0,2010
129969,CT,2,1,0,189,494024.0,2010
130004,CT,3,1,1,577,868730.0,2010
130040,CT,3,1,1,193,573230.0,2010
130110,CT,5,1,0,21,39326.0,2010
130174,CT,2,1,0,515,1527167.0,2010
130183,CT,7,1,0,587,1738512.0,2010
130217,CT,3,1,1,320,854941.0,2010
130226,CT,9,1,0,1637,1493902.0,2010
130253,CT,9,1,0,974,1078695.0,2010
130314,CT,9,1,0,229,417378.0,2010
130396,CT,3,1,1,894,2155581.0,2010
130448,CT,3,1,0,4,0.0,2010
130493,CT,9,1,1,1248,2062326.0,2010
130509,CT,2,1,0,459,573434.0,2010
130590,CT,7,1,0,591,506544.0,2010
130606,CT,3,1,1,613,1152525.0,2010
